Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-05-30,Before Midnight,2013,https://boxd.it/6zG04z,4.5,,(Watch date is not 100% accurate but rough estimate) ,,2023-06-11
2024-05-30,Before Sunset,2004,https://boxd.it/6zG3WJ,5,,(Watch date is not 100% accurate but rough estimate),,2023-06-02
