Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-02-08,Doctor Strange,2016,https://boxd.it/YKfAZ,3.5,,,2019-04-13
2020-02-08,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/YKfQj,3.5,,,2019-04-13
2020-02-08,Blade Runner 2049,2017,https://boxd.it/YKfHV,4.5,,,2019-04-18
2020-02-08,Black Panther,2018,https://boxd.it/YKfHB,4,,,2019-04-22
2020-02-08,Creed,2015,https://boxd.it/YKfPP,4,,,2019-04-23
2020-02-08,Avengers: Infinity War,2018,https://boxd.it/YKfV9,4,,,2019-04-25
2020-02-08,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/YKfUb,4,,,2019-04-27
2020-02-08,Blade Runner,1982,https://boxd.it/YKg8x,4,,,2019-05-03
2020-02-08,Creed II,2018,https://boxd.it/YKg4b,3.5,,,2019-05-04
2020-02-08,Forrest Gump,1994,https://boxd.it/YKfyp,4.5,,,2019-05-10
2020-02-08,Full Metal Jacket,1987,https://boxd.it/YKgaN,4.5,,,2019-05-15
2020-02-15,La La Land,2016,https://boxd.it/Zo3jR,5,Yes,,2019-05-15
2020-02-08,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/YKfzH,3.5,,,2019-05-19
2020-02-08,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/YKg2z,4,,,2019-05-19
2020-02-08,Fruitvale Station,2013,https://boxd.it/YKfLj,4,,,2019-05-25
2020-02-08,Terminator 2: Judgment Day,1991,https://boxd.it/YKfxh,4.5,,,2019-06-04
2020-02-08,Titanic,1997,https://boxd.it/YKfAb,4,,,2019-06-05
2020-02-08,Avatar,2009,https://boxd.it/YKfZF,4,,,2019-06-06
2020-02-15,Inception,2010,https://boxd.it/Zo8kF,4.5,Yes,,2019-06-10
2020-02-08,Insomnia,2002,https://boxd.it/YKfNJ,4,,,2019-06-12
2020-02-08,Thor: Ragnarok,2017,https://boxd.it/YKfRB,3.5,,,2019-06-12
2020-02-08,Zootopia,2016,https://boxd.it/YKfOR,4,,,2019-06-14
2020-02-08,Following,1998,https://boxd.it/YKfFF,3.5,,,2019-06-16
2020-02-15,The Dark Knight,2008,https://boxd.it/Zo8c7,5,Yes,,2019-06-19
2020-02-08,Incendies,2010,https://boxd.it/YKfBX,4.5,,,2019-06-22
2020-02-08,Prisoners,2013,https://boxd.it/YKfDJ,4,,,2019-06-25
2020-02-08,Sicario,2015,https://boxd.it/YKfR7,4,,,2019-06-26
2020-02-08,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/YKfPF,4,,,2019-06-27
2020-02-08,Arrival,2016,https://boxd.it/YKfMB,4.5,,,2019-07-02
2020-02-08,Three Colours: Blue,1993,https://boxd.it/YKfyf,4,,,2019-07-03
2020-02-08,Toy Story 2,1999,https://boxd.it/YKfAl,4,,,2019-07-04
2020-02-08,Spider-Man 2,2004,https://boxd.it/YKfQ9,4.5,,,2019-07-07
2020-02-08,Three Colours: Red,1994,https://boxd.it/YKfyT,4,,,2019-07-12
2020-02-08,The Matrix,1999,https://boxd.it/YKfCV,4,,,2019-07-12
2020-02-08,If Beale Street Could Talk,2018,https://boxd.it/YKg67,4,,,2019-07-13
2020-02-08,The Incredible Hulk,2008,https://boxd.it/YKg7p,3,,,2019-07-13
2020-02-08,Hell or High Water,2016,https://boxd.it/YKfMV,4,,,2019-07-15
2020-02-08,Spider-Man: Far from Home,2019,https://boxd.it/YKg41,3.5,,,2019-07-15
2020-02-08,Lady Bird,2017,https://boxd.it/YKfZb,4.5,,,2019-07-16
2020-02-15,Avengers: Endgame,2019,https://boxd.it/Zod19,4,Yes,,2019-07-17
2020-02-08,The Shape of Water,2017,https://boxd.it/YKg25,4,,,2019-07-19
2020-02-08,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/YKg0j,4.5,,,2019-07-22
2020-02-08,Pacific Rim,2013,https://boxd.it/YKfG9,3,,,2019-07-27
2020-02-08,The Wind That Shakes the Barley,2006,https://boxd.it/YKfXf,4,,,2019-07-28
2020-02-08,Lawrence of Arabia,1962,https://boxd.it/YKg2f,4.5,,,2019-07-29
2020-02-08,The Bridge on the River Kwai,1957,https://boxd.it/YKg09,4,,,2019-07-30
2020-02-08,The Hunger Games: Catching Fire,2013,https://boxd.it/YKfIz,3.5,,,2019-07-31
2020-02-08,John Wick,2014,https://boxd.it/YKfOx,3.5,,,2019-07-31
2020-02-08,Phantom Thread,2017,https://boxd.it/YKg2T,4.5,,,2019-07-31
